class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,,,,,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NaH87wQeSvh2,Dialogo Primo.,De gli eroici furori,,,,,,,,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,subject,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
