class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_permalink,has_version_IIIF_manifest,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,identifier,https://edit16.iccu.sbn.it/titolo/CNCE009643,,,,,,,,,,,,,,,,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mzbsVFUqEnzX,(Moroncini 2020),,,,,,,,,,,,,,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G7vsGa9x682P,humorous poetry,,,,,,,,,,,,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,title,,,,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,,,,,,,,,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,inception,,,,,,,,,,,,,,,,,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,has_version,,,,,,,,https://www.digitale-sammlungen.de/de/view/bsb10208015,https://edit16.iccu.sbn.it/titolo/CNCE009643,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10208015/manifest,1539.0,,,,,,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EURnex9Eajh,Annibale Caro,,,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YtNYvYPNHggc,satire,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,has_part,,,,,,,,,,,,,,,,,,
Book,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo.md,DubqEPP42VRF,245673458334336249541,based_on,,,,,,,,,,,,,,,,,,
