class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_role,member_reference,member_value,member_label,interested_in_value,notable_work_value,related_to_value,motto_value,identifier_value,described_by_source_value,described_by_source_label
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YDVJE5nqGm7o,theater company,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,inception,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,location,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,official_website,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,catalog_identifier,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,member,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RGkwj2SrHSi5,Giovanni Battista Andreini,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,member,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fichLUAEWcmA,Virginia Ramponi-Andreini,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,related_to,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,motto,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,identifier,,,,,,,,,,,,,,,,,,
Organisation,Comici Fedeli,Comici Fedeli.md,Comici Fedeli,Gko7fBDZeRyE,304394444004394358592,described_by_source,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011)
