class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3KxURtKJVxAF,Pietro Aretino,,,,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,part_of,,,,,,"Canto I, 3",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7WmdoicdMZx,Astolfeide del divino Pietro Aretino,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4GV6wBhpBTG5,historian,,,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,text,,,,,,,,,,,,,,,,,,,,,"Falsi i Poeti, & l'Historici vani 
Di Troia, & Tebe di sparta, & Tessaglia 
Son presso a l'opra ov'io caccio le mani 
A dir de' Paladin, sel ver mi vaglia
Son le buggie un Abbaiar de cani. 
Io in pace dirò più che in battaglia
De' Cronichisti mendaci al dispetto 
De' Paladin di Francia il vero schietto.",,
PoeticWork,"Falsi i Poeti, & l'Historici vani","Falsi i Poeti, & l'Historici vani.md","Falsi i Poeti, & l'Historici vani",QPGPMYfxm8Zn,461683796281997474198,described_by_source,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mzQMzWpG79QK,(Selepiuc 2020)
