class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8m32hHy87EkU,Ortensia Colonna,,,,,,,,,,,,,,,,,
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AQ4Mxw23doRC,Laura Battiferri,,,,,,,,,,,,,,,,,
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,part_of,,,,,,Alla S. Eufemia,28.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3gZsxzoV4qay,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,,,,,,,,,,,
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,subject,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,,
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,,
PoeticWork,Quando nell'ocean l'altera fonte,Quando nell'ocean l'altera fonte.md,Quando nell'ocean l'altera fonte,SHJjfy2S7Nm9,500798363609374518583,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bDmTfHcyfkqv,shepherd,,,,
