class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,identifier,http://www.wikidata.org/entity/Q36330,,,,,,,,,,,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gPbPASvGPG6h,(Canone 2007),,,,,,,,,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V863VaniCEeW,(Yates 1964),,,,,,,,,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,work_location,,,,,,,,,,,,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,member_of,,,,,,,,,,,,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gMdbT5JfGDFV,philosopher,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,related_to,,,,,,,,,,,,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,notable_work,,,,,,,,,,,,,,,,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmaA75A9H4A7,ars combinatoria,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mpPwPhnXcb3d,art of memory,
Agent,Giordano Bruno,,,Giordano Bruno,Giordano Bruno.md,2brEqdcLsYfo,12253400363035735788,catalog_identifier,,,,,,,,,,,,,,,,
