class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,work_location,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,member_of,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5K5Fc8Tejhd9,translator,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AwveTDUETzJD,cardinal,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,related_to,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,notable_work,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rt9dKQ5RaNbH,Predica de i sogni,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oHQS4F4PD6ye,Vitruvius,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,present_in_work,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,identifier,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q378870,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,Lq5GhkB8p6YX,388482456734250147479,described_by_source,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020)
