class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,inception_reference,has_version_permalink,has_version_publication_date,has_version_publisher,has_version_external_source,has_version_place_of_publication,has_version_IIIF_manifest,contributor_value,contributor_role,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,identifier,https://edit16.iccu.sbn.it/titolo/CNCE062656,,,,,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LaHmy3iDRxQM,(Moroncini 2020),,,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kNR7wGs7pHDt,humorous poetry,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,title,,,,,,Formaggiata di Sere Stentato al serenissimo re della virtude,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,inception,,,,,,,1538.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb', 'label': '(Moroncini 2017)'}]",,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,has_version,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE062656,1542.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",https://books.google.it/books?id=J3VJizH9rHkC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8uSppJ4kaCQ5', 'label': 'Piacenza'}]",https://dl.unito.it/fedora/objects/mag:38161/datastreams/MMIIIF/content,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,contributor,,,,,,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,contributor,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR', 'label': 'publisher'}",Anton Francesco Doni,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,contributor,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WdSP8EMksryz,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",Giulio Landi,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Formaggiata di Sere Stentato al serenissimo re della virtude,,,Formaggiata di Sere Stentato al serenissimo re della virtude,Formaggiata di Sere Stentato al serenissimo re della virtude.md,WLLhoFbCkx93,584440557459957116716,based_on,,,,,,,,,,,,,,,,,,,,,
