class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,official_website_value,catalog_identifier_value,catalog_identifier_source,member_role,member_value,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,identifier,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,described_by_source,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,inception,,,,,1674.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,dissolved,,,,,,,1689.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,location,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,official_website,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,catalog_identifier,,,,,,,,,,,286.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,member,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HZVcrHD7BkbT,Christina of Sweden,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,interested_in,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,notable_work,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,related_to,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Reale di Cristina di Svezia di Roma,,,Accademia Reale di Cristina di Svezia di Roma,Accademia Reale di Cristina di Svezia di Roma.md,2TcCxCjMpcb5,9268003216784133669,motto,,,,,,,,,,,,,,,,,,,
