class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F153065000010101_000000249000C,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,Anton Francesco Doni,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nUaTBnnW6oqF', 'label': 'Claudio Veggio'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rg48ktvfYvix,Dialogo della musica di m. Anton Francesco Doni,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,instrumentation,,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,instrumentation,,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,instrumentation,,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,instrumentation,,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,based_on,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HAVtemqRko2X,Madonna hor che direte,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,derivative_work,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,text,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,language,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,subject,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,poetic_type,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,depicts,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Madonna hor che direte (Veggio),,,Madonna hor che direte (Veggio),Madonna hor che direte (Veggio).md,cZX8izbniwwy,713028570747096337522,metre,,,,,,,,,,,,,,,,,,,,,,
