class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,member_of_role,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,identifier,http://www.wikidata.org/entity/Q2903986,,,,,,,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020),,,,,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ajgtt88cevRe,(Procaccioli 2020),,,,,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gLeh7vn7FH8w,Milano,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n4LerF42HfPJ,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ajgtt88cevRe', 'label': '(Procaccioli 2020)'}]",Accademia dei Segreti di Napoli,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5jRWaYbHHcZc,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ajgtt88cevRe', 'label': '(Procaccioli 2020)'}]",Accademia Veneziana,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,NqAa4C6LiGN8,429787946123364258525,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SoT8HEa6ZEYG,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ajgtt88cevRe', 'label': '(Procaccioli 2020)'}]",Compagnia dei Pastori Fratteggianti,,,,,,,,,,
