class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,member_of,,,,,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eY9VyUGp6KLy,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",Teofilo Folengo,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MRqTCWN2WqnD,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",humanitarians,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",17763.0,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,present_in_work,,,,,,,,,,,,,,,,,,,,,
Agent,Scipione Capece,Scipione Capece.md,Scipione Capece,KTTcKbc6LXkT,360023740993919638519,identifier,,,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q2260338
