class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,work_location,,,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QSyianVr6pdC,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4NmckkLszZdN', 'label': 'visitor'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Intronati di Siena,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TrNJvhKd8rv2,sculptor,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oJ7bBDGkTcz8,actor,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2JBDGRh7Z94i,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q3VtFUAxVKyf', 'label': 'lover'}",Adriano Valerini,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,notable_work,,,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,interested_in,,,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0668,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,present_in_work,,,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,identifier,,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q4936473,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,n3jrHXfwYr6b,908607417505939420407,described_by_source,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AGd5KQaFuxjD,(Treadwell 2013)
