class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,identifier,https://catalogue.bnf.fr/ark:/12148/cb301534561,,,,,,,,,,,,,,,,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3,Bibliothèque nationale de France,,,,,,,,,,,,,,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EQa8x6MU8Hoz,art print,,,,,,,,,,,,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,title,,,,,,"Bizzarie di varie figure , di Giovanbatista Braccelli, pittore fiorentino, all' ill.mo S. Don Pietro Medici",,,,,,,,,,,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,inception,,,,,,,1624.0,,,,,,,,,,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,has_version,,,,,,,,http://ark.bnf.fr/ark:/12148/cb301534561,https://gallica.bnf.fr/ark:/12148/bpt6k3175268,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3175268/manifest.json,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3', 'label': 'Bibliothèque nationale de France'}",1624.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Z7p2YqqXmSnd', 'label': 'Livorno'}]",,,,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HFwy3rG5oguY,Giovanni Battista Bracelli,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KbxBVs3YAzhk,bizzarria,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eRj7U7HDLrGe,visual arts,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,based_on,,,,,,,,,,,,,,,,,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,has_part,,,,,,,,,,,,,,,,,,,,,,
Book,Bizzarria di varie figure,,,Bizzarria di varie figure,Bizzarria di varie figure.md,HnP6ode7SSmJ,325601880589917812584,depicts,,,,,,,,,,,,,,,,,,,,,,
