class,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,identifier_value,opposite_of_value,opposite_of_label
Concept,female,female.md,female,KpnNUHk7FWq5,367745575705031635578,instance_of,,,,,
Concept,female,female.md,female,KpnNUHk7FWq5,367745575705031635578,subclass_of,,,,,
Concept,female,female.md,female,KpnNUHk7FWq5,367745575705031635578,identifier,,,http://www.wikidata.org/entity/Q6581072,,
Concept,female,female.md,female,KpnNUHk7FWq5,367745575705031635578,opposite_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male
