class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,identifier,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,work_location,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fFfSZRnjSHok,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7', 'label': '(Nicolaci 2017)'}]",Accademia degli Affidati di Pavia,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,occupation,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2crP46brsdr4,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mY2q8YffL5yG', 'label': 'sibling'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7', 'label': '(Nicolaci 2017)'}]",Paolo Guidotti,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,interested_in,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,QGaWAYzRpgZZ,459264647788329079951,catalog_identifier,,,,,,,,,,,,,,,,,,
