class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,identifier,http://www.wikidata.org/entity/Q177854,,,,,,,,,,,,,,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,described_by_source,,,,,,,,,,,,,,,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,member_of,,,,,,,,,,,,,,,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv,patron of the arts,,,,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F2LubQbnYJa9,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}",Anton Francesco Grazzini,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,notable_work,,,,,,,,,,,,,,,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,interested_in,,,,,,,,,,,,,,,,,
Agent,Lorenzo de' Medici,,['Lorenzo il Magnifico'],Lorenzo de' Medici,Lorenzo de' Medici.md,LZU2NAVXzCKU,382834408749657691388,catalog_identifier,,,,,,,,,,,,,,,,,
