class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_note,has_version_holding_institution,has_version_IIIF_manifest,contributor_value,contributor_role,contributor_note,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,identifier,https://edit16.iccu.sbn.it/titolo/CNCE026144,,,,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,described_by_source,,,,,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,title,,,,,Rime de la signora Laura Terracina,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,inception,,,,,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,has_version,,,,,,,http://badigit.comune.bologna.it/books/sol/36001_INV.pdf,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1553.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",https://edit16.iccu.sbn.it/titolo/CNCE054756,Contribution by Anton Francesco Doni,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,has_version,,,,,,,https://viewer.onb.ac.at/10A5531C/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1548.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",https://edit16.iccu.sbn.it/titolo/CNCE026144,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",https://api.onb.ac.at/iiif/presentation/v3/manifest/10A5531C,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,contributor,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",Contribution in the 1553 reprint.,Anton Francesco Doni,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,contributor,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",,Laura Terracina,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,subject,,,,,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,QHQNCAeFLdvH,459562278210103786410,based_on,,,,,,,,,,,,,,,,,,,,,
