class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_sourcing_circumstances,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value,motto_reference
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,identifier,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,described_by_source,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,inception,,,,,1550.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,dissolved,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1600.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,location,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYfqAMA7FA2N,Siena,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,official_website,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",85.0,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,member,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,interested_in,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,notable_work,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,related_to,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,WURfhDosUvNv,587368346772726109264,motto,,,,,,,,,,,,,,,,,,,,Donec impurum,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]"
