class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,identifier,http://www.wikidata.org/entity/Q3827830,,,,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VMASYw6gTP7u,(Treadwell 2013),,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TF9VLuUZpbf7,Accademia dei Rinnovati di Ferrara,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RDPU3aR5Ve6g,Accademia Filarmonica di Verona,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRregcw3FA5L,singer,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,related_to,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/baADqnLF4t7X,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PisMNabZrMmn', 'label': 'student'}",Tarquinia Molza,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,related_to,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,,Torquato Tasso,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,Laura Peverara,,,Laura Peverara,Laura Peverara.md,RWJhybDuQZd4,484868708607496925834,present_in_work,,,,,,,,,,,,,,,,,,,,
