class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,title_value,inception_value,inception_reference,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_note,has_version_permalink,contributor_value,contributor_role,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,identifier,http://id.sbn.it/bid/RAVE008911,,,,,,,,,,,,,,,,,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7vxisZ6ZVsMK,(Cosentino 2017),,,,,,,,,,,,,,,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,instance_of,,,,,,,,,,,,,,,,,,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,title,,,,,,,,,,,,,,,,,,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,inception,,,,,,1619.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7vxisZ6ZVsMK', 'label': '(Cosentino 2017)'}]",,,,,,,,,,,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,has_version,,,,,,,,https://books.google.be/books?id=Gz4PzOlrHEcC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW', 'label': 'Firenze'}]",1726.0,"Anthology edited and commented by Anton Maria Salvini, including the comedy Tancia.",http://id.sbn.it/bid/RAVE008911,,,,,,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,contributor,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FRDx8nEPHfaf,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",Michelangelo Buonarroti the Younger,,,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,has_part,,,,,,,,,,,,,,,,,,,
Book,La Fiera,,,La Fiera commedia di Michelagnolo Buonarruoti il giovane,La Fiera commedia di Michelagnolo Buonarruoti il giovane.md,4DMhgmZERe9r,45379265726026546917,based_on,,,,,,,,,,,,,,,,,,,
