class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eY9VyUGp6KLy,Teofilo Folengo,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,part_of,,,,,,,,Selva Tertia.,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Z4eXm9TQs4C,98.0,Chaos del tri per uno,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5PPMvehXX5tk,ocean,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Beqn6AUimkDX,shipwreck,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",TxniBSgttkTX,535731237157657204310,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XF9vnVnjvEzN,watercraft,,,
