class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_permalink,has_version_note,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,identifier,http://www.wikidata.org/entity/Q48922,,,,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,described_by_source,,,,,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,title,,,,,Orlando furioso,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,inception,,,,,,1516.0,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR', 'label': 'Ferrara'}]",https://edit16.iccu.sbn.it/titolo/CNCE002566,"Final edition, including extra canti.",1532.0,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR', 'label': 'Ferrara'}]",https://edit16.iccu.sbn.it/titolo/CNCE002541,First edtion.,1516.0,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8qMTBqEnmhVL,Ludovico Ariosto,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,subject,,,,,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,has_part,,,,,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,FSsfkMyDLbzE,277270925869688603193,based_on,,,,,,,,,,,,,,,,
