class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,inception_reference,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label,catalog_identifier_value
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,identifier,https://edit16.iccu.sbn.it/titolo/CNCE041632,,,,,,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6,(Di Maro 2021),,,,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S65kVD9i4yVe,(Faricelli 2024),,,,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,title,,,,,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,inception,,,,,,,1544.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S65kVD9i4yVe', 'label': '(Faricelli 2024)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6', 'label': '(Di Maro 2021)'}]",,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,has_version,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE041632,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fu9K9tXH5mRg', 'label': 'Leonardo detto il Furlano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1545.0,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kFghMqXMQGVb,Dianora Sanseverino,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,57SdYGpCqa7j,63874260598708257500,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjrdtVHFL2hc,extemporary poetry,,,,
