class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,identifier,http://www.wikidata.org/entity/Q141015024,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,described_by_source,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,work_location,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,member_of,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,occupation,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,related_to,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,notable_work,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,interested_in,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,catalog_identifier,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,8m32hHy87EkU,139389260861464824698,present_in_work,,,,,,,,,,,,,,
