class,base_name,filename,id,label,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value,identifier_value
Concept,eclogue,eclogue.md,Mnb2BoNNxo5h,eclogue,408221181946116784443,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nm2JMnbqZ4yL,poetic form,,,
Concept,eclogue,eclogue.md,Mnb2BoNNxo5h,eclogue,408221181946116784443,subclass_of,,,,,
Concept,eclogue,eclogue.md,Mnb2BoNNxo5h,eclogue,408221181946116784443,opposite_of,,,,,
Concept,eclogue,eclogue.md,Mnb2BoNNxo5h,eclogue,408221181946116784443,identifier,,,,,http://www.wikidata.org/entity/Q11072974
