class,aliases,base_name,filename,label,id,n_id,property,part_of_value,citation_value,isbn_value,identifier_value
BibliographicResource,['delbiancoDubbiaPaceCerta2022'],(Del Bianco 2022),(Del Bianco 2022).md,(Del Bianco 2022),kAuAzk9YeiqY,869928989071679990325,part_of,,,,
BibliographicResource,['delbiancoDubbiaPaceCerta2022'],(Del Bianco 2022),(Del Bianco 2022).md,(Del Bianco 2022),kAuAzk9YeiqY,869928989071679990325,citation,,"Del Bianco, Giulia. 2022. ‘«in dubbia pace e certa guerra io vivo». Il Petrarchismo tormentato di Laura Battiferri: lingua, stile e metrica.’ Master, Padua, Italy: Università degli Studi di Padova.",,
BibliographicResource,['delbiancoDubbiaPaceCerta2022'],(Del Bianco 2022),(Del Bianco 2022).md,(Del Bianco 2022),kAuAzk9YeiqY,869928989071679990325,isbn,,,,
BibliographicResource,['delbiancoDubbiaPaceCerta2022'],(Del Bianco 2022),(Del Bianco 2022).md,(Del Bianco 2022),kAuAzk9YeiqY,869928989071679990325,identifier,,,,https://thesis.unipd.it/handle/20.500.12608/31217
