class,aliases,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value
Concept,['ghirlanda'],garland,garland.md,garland,TLHq8TzF3NgR,522514619012637473159,identifier,http://www.wikidata.org/entity/Q756600,,,,
Concept,['ghirlanda'],garland,garland.md,garland,TLHq8TzF3NgR,522514619012637473159,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nPiNkmzNYMpM,artificial object,,
Concept,['ghirlanda'],garland,garland.md,garland,TLHq8TzF3NgR,522514619012637473159,subclass_of,,,,,
Concept,['ghirlanda'],garland,garland.md,garland,TLHq8TzF3NgR,522514619012637473159,opposite_of,,,,,
