class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV50640010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,identifier,https://rism.online/sources/993104334,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,title,,,,,,Il primo libro d' madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE044932,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1542.0,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00080881,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00080881/manifest,,,,,,,
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",[[Nollet]],,,,,
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,,,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci,Il primo libro di madrigali de diversi eccellentissimi autori a misura di breve a quattro voci.md,7hFmyJEJe7X5,117386267926709740608,has_part,,,,,,,,,,,,,,,,,,,,,
