class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_value,contributor_value,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,identifier,https://rism.online/sources/990018974,,,,,,,,,,,,,
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV08480010,,,,,,,,,,,,,
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,identifier,http://id.sbn.it/bid/MUS0063665,,,,,,,,,,,,,
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,title,,,,,,"Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantouano. Co 'l Basso continuo per il Clauecimbalo, Chitarrone, et stromenti simili. Raccolto dal R. Don Francesco Dognazzi, Seruitore dell'Altezza Serenissima di Mantoa",,,,,,,,
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,inception,,,,,,,,,,,,,,
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,has_version,,,,,,,,,,,,,,
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,contributor,,,,,,,,,,,,,,
NotatedMusic,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,,,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano,Il Secondo libro delli Fioretti Musicali a tre voci d'Amante Franzoni Mantovano.md,dNpAPcgRkCz9,729790263810881892868,subject,,,,,,,,,,,,,,
