class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label
Concept,hexameter,,,hexameter,hexameter.md,foPko6Zoq7GG,779957944810514697206,identifier,http://www.wikidata.org/entity/Q109548,,,
Concept,hexameter,,,hexameter,hexameter.md,foPko6Zoq7GG,779957944810514697206,described_by_source,,,,
Concept,hexameter,,,hexameter,hexameter.md,foPko6Zoq7GG,779957944810514697206,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2xCaDiBv9GeK,metrical pattern
