class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,identifier,http://www.wikidata.org/entity/Q546203,,,,,,,,,,,,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,described_by_source,,,,,,,,,,,,,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,title,,,,,,,,,,,,,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,inception,,,,,,,,,,,,,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,has_version,,,,,,,,,,,,,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,contributor,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SZ7i6Mrhdezq,Virgil,,,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,has_part,,,,,,,,,,,,,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,based_on,,,,,,,,,,,,,,,
Book,Eclogues,,,Eclogues,Eclogues.md,X8WAmHm6XHuD,600792113855949552434,catalog_identifier,,,,,,,,,,,,,,,
