class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,work_location,,,,,,,,,,,,,
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,member_of,,,,,,,,,,,,,
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,related_to,,,,,,,,,,,,,
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,notable_work,,,,,,,,,,,,,
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,interested_in,,,,,,,,,,,,,
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,catalog_identifier,,,,,,,,,,,,,
Agent,Desiderio Montemagni,Desiderio Montemagni.md,Desiderio Montemagni,efKsbXJYLn9w,756401129811547311593,identifier,,,,,,,,,,,,,http://www.wikidata.org/entity/Q99211874
