class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F017470000010101_000000175200C,,,,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,described_by_source,,,,,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,Isabella Andreini,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ERc4zrd6LiHT,Santi Orlandi,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpVQ6pUqEgbQ,Libro terzo de madrigali a cinque voci di Santi Orlandi,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,instrumentation,,,,,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,based_on,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9L6LYHSjdpwR,Amorosa mia Clori,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,derivative_work,,,,,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,i4NZY3gX2ywo,826290604631995830384,text,,,,,,,,,,,,,,
