class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,identifier,http://www.wikidata.org/entity/Q48900,,,,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,described_by_source,,,,,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,member_of,,,,,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,related_to,,,,,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,notable_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Xf5XXx6QrdyX,chivalry,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,8qMTBqEnmhVL,140954448656514112704,catalog_identifier,,,,,,,,,,,,,,,,,
