class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,identifier,https://edit16.iccu.sbn.it/titolo/CNCE055621,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/009070010,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA,(Di Maro 2021),,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,title,,,,,,Le seste rime della signora Laura Terracina di Napoli. Nuouamente stampate,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,inception,,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XSSWJuarq3FG', 'label': 'Lucca'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AE5GjpNrgXhG', 'label': 'Vincenzo Busdraghi'}",1558.0,https://edit16.iccu.sbn.it/titolo/CNCE055621,https://books.google.it/books?id=IxBsOqwFe44C,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,subject,,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,has_part,,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,based_on,,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,cxsSo6EFGddg,721484380312645098653,catalog_identifier,,,,,,,,,,,,,,,,,,,
