class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,identifier,http://www.wikidata.org/entity/Q269690,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,work_location,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TeSuhKFrmS4d,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia Olimpica di Vicenza,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kKYmkpXmWLjN,courtesan,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eyV9wwcfCgPX,singer,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,related_to,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,notable_work,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,interested_in,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Maddalena Casulana,,,Maddalena Casulana,Maddalena Casulana.md,kp4ihyYwsoek,883378566990936181455,present_in_work,,,,,,,,,,,,,,,,,,
