class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_role,member_of_reference,member_of_label,member_of_pseudonym,member_of_start_date,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,identifier,http://www.wikidata.org/entity/Q2632451,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YhoLzyEiNUbp,(Halton 2008),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BuXqPehRWFkp,(McNeil 1995),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WbLfAPPmoPxy,(Sorrentini 2015),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HJvNcoXxJHJF,(Campbell 2018),,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,work_location,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Isabella Andreini,,['Isabella Canali Andreini'],Isabella Andreini,Isabella Andreini.md,ke7Y8iiuR8Rg,879776108750589183116,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RDPU3aR5Ve6g,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SqGAEzjPvbze', 'label': 'visitor'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia Filarmonica di Verona,,,,,,,,,,,,,
