class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3YLGgR7kasRh,Pietro Aretino,,,,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,part_of,,,,,,"Canto II, 2",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LjEXUop39PHN,D'Angelica di m. Pietro Aretino due primi canti,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q3VtFUAxVKyf,lover,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EbB4YoFvmYce,heart,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,HBKhLXNtjuXa,312909155164444185326,text,,,,,,,,,,,,,,,,,,,,,"Oh beati color ch'hanno duo cori
In un sol core, è due alme in un'alma,
Due vite in una vita, è i loro ardori
Quetano in pace graziosa & alma;
Beatissimi quei, c'hanno i fervori
Con desio pari scarchi d'ogni salma,
Né invidia o gelosia, né avara sorte
Gli nega alcun piacer sino a la morte."
