class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,part_of_value,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F078520000010101_000000198202C,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,,,,
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",[[Gasparo Patronieri]],,,,,,,,,,,,,,,
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,part_of,,,,,,,,[[Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci]],,,,,,,,,,,,,,
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,instrumentation,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,based_on,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,derivative_work,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,text,,,,,,,,,,,,"Dolce contrade oh chiusi e cheti valli
Dov'è il mio sol? pure quinci lontano
Ond'l mio duro piant'ognor rinova
Oh ben nati fioretti bianch'e gialli
Che cor spesso solea la bianca mano
Dove son gl'occhi miei che qui non trovo.",,,,,,,,,,
MusicComposition,Dolce contrade oh chius'e cheti valli (Patronieri),,"[""Dolce contrade o chius'e cheti valli""]",Dolce contrade oh chius'e cheti valli (Patronieri),Dolce contrade oh chius'e cheti valli (Patronieri).md,o7iQETcHwfNW,930682196100689242336,language,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,,,,,,,
