class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value,catalog_identifier_source
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,identifier,http://id.sbn.it/bid/BVEE041824,,,,,,,,,,,,,,,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/R66mFXC4Cubc,(Ross 2010),,,,,,,,,,,,,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PdqQDrJWGC9w,(Ray 2015),,,,,,,,,,,,,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AYqoxRbyDh4i,pastoral drama,,,,,,,,,,,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,title,,,,,,Arcadia felice di Lucretia Marinella. Dedicata alla serenissima Madama Leonora Medici Gonzaga,,,,,,,,,,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,inception,,,,,,,1605.0,,,,,,,,,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mBuz2DVvb28R', 'label': 'Giovanni Battista Ciotti'}",1605.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",http://id.sbn.it/bid/BVEE041824,https://books.google.be/books?id=SbpdAAAAcAAJ,,,,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fg7MNeVSQWGp,Leonora de' Medici Gonzaga,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PBEhrmkec4qK,Lucrezia Marinella,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Arcadia felice,,,Arcadia felice,Arcadia felice.md,564DtyF99hEw,63369861288671539592,catalog_identifier,,,,,,,,,,,,,,,,,,,,E20113-01,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}"
