class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,identifier,http://www.wikidata.org/entity/Q1587522,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,described_by_source,,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,Firenze,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,member_of,,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM,patron of the arts,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gup4VoeXGR57,politician,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,related_to,,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,notable_work,,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,nFczM5RXNGJ3,912908255602194672736,catalog_identifier,,,,,,,,,,,,,,,,
