class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,identifier,https://edit16.iccu.sbn.it/titolo/CNCE027028,,,,,,,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020),,,,,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BgmxnNpBupRa,dialogue,,,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,title,,,,,,"Quattro libri de dubbi con le solutioni a ciascun dubbio accommodate. La materia del primo è naturale, del secondo è mista (benche per lo piu sia morale) del terzo è amorosa, & del quarto è religiosa",,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,inception,,,,,,,1552.0,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,has_version,,,,,,,,https://books.google.it/books?id=jYJedrIHTR0C,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1552.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",https://edit16.iccu.sbn.it/titolo/CNCE027028,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EAyEC3fo5R3j,Isabella Villamarina,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wx2S3JYJxpZo,Ortensio Lando,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dRufTZn93Cc5,doubt,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,has_part,,,,,,,,,,,,,,,,,,,
Book,Quattro libri de dubbi,,,Quattro libri de dubbi,Quattro libri de dubbi.md,9stUtjT8iD6E,162511501914683472417,based_on,,,,,,,,,,,,,,,,,,,
