class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,composer,composer,composer.md,LeNVLHNHKPVp,384609471548365197064,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Et64EF5pK79G,occupation,,
Concept,composer,composer,composer.md,LeNVLHNHKPVp,384609471548365197064,subclass_of,,,,
Concept,composer,composer,composer.md,LeNVLHNHKPVp,384609471548365197064,identifier,,,,http://www.wikidata.org/entity/Q36834
