class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/038980000010101_000000219900C,,,,,,,,,,,,,,
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XCGaRQqQ2kt2,aria,,,,,,,,,,
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUiiaYvUfK7o,Isabella Andreini,,,,,,,
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7bBQyuYVHmpZ,Claudio Saracini,,,,,,,
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DWrZfVruXwkS,Le seconde musiche di Claudio Saracini,,,,,
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,instrumentation,,,,,,,,,,,,,,,
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dMKFkrqamrJ4,"Care gioie, che le noie",,
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,derivative_work,,,,,,,,,,,,,,,
MusicComposition,"Care gioie, che le noie (Saracini)",,,"Care gioie, che le noie (Saracini)","Care gioie, che le noie (Saracini).md",NVWNP7eUojKz,422673008574358512494,text,,,,,,,,,,,,,,,
