class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,identifier,http://www.wikidata.org/entity/Q1930983,,,,,,,,,,,,,,,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,described_by_source,,,,,,,,,,,,,,,,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,Firenze,,,,,,,,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,member_of,,,,,,,,,,,,,,,,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq,author,,,,,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,related_to,,,,,,,,,,,,,,,,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,notable_work,,,,,,,,,,,,,,,,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YCN3YBd5MREb,theater,
Agent,Michelangelo Buonarroti the Younger,,,Michelangelo Buonarroti the Younger,Michelangelo Buonarroti the Younger.md,7BwEARxfZFtR,106775780542732687718,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}"
