class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,identifier,http://www.wikidata.org/entity/Q140999477,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,described_by_source,,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,member_of,,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DM8yqzJbTHVG,charlatan,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GWw8DELtG846', 'label': 'colleague'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S65kVD9i4yVe', 'label': '(Faricelli 2024)'}]",Anton Francesco Doni,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,notable_work,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/57SdYGpCqa7j,Stanze transmutate del Ariosto con una canzone bellissima pastorale,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,Fu9K9tXH5mRg,286776768459929382728,present_in_work,,,,,,,,,,,,,,,,,,,,
