class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,has_version_holding_institution,contributor_role,contributor_value,contributor_note,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV03640010,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,identifier,https://rism.online/sources/990007264,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AbuDB4awtRQP,music score,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,title,,,,,,"L'Euterpe di Domenico Brunetti bolognese, opera musicale di Madrigali, Canzonette, Arie, Stanze e Scherzi diversi, in Dialoghi & Echo, a una, due, tre et quattro voci, da cantarsi in theorba, arpicordo & altri stromenti. All'ill.mo & rev.mo sig. Scipione card.le Borghese, nepote di N.S. Paolo V",,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,inception,,,,,,,1606.0,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,has_version,,,,,,,,1606.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h98jfRjMidFB', 'label': 'Ricciardo Amadino'}",http://catalogue.bnf.fr/ark:/12148/cb397816351,https://gallica.bnf.fr/ark:/12148/bpt6k1280276p,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1280276p/manifest.json,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3', 'label': 'Bibliothèque nationale de France'}",,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HdyaPc6TBosQ,Dedication poem to the author.,Cesare Abelli,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sr3NvpXZHRto,,Domenico Brunetti,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,subject,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,has_part,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,instrumentation,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BE4kxtAbpReH,continuo group
NotatedMusic,L'Euterpe di Domenico Brunetti,,,L'Euterpe di Domenico Brunetti,L'Euterpe di Domenico Brunetti.md,KD8CF8tAiKnw,354831913540679459747,instrumentation,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ne3BHXniMVmN,voice
