class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,identifier,http://www.wikidata.org/entity/Q92914479,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,identifier,https://lyra.unil.ch/agents/41,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,work_location,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,member_of,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,related_to,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,notable_work,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,interested_in,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,ewPgHKZpLaZe,762217807651432870566,present_in_work,,,,,,,,,,,,,,,,
