class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,identifier,https://edit16.iccu.sbn.it/titolo/CNCE000055,,,,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,identifier,https://lyra.unil.ch/books/54,,,,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,described_by_source,,,,,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7SDwTH2xoWfL,emblem book,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,title,,,,,Rime de gli Academici Occulti con le loro imprese et discorsi,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,inception,,,,,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,has_version,,,,,,,https://books.google.it/books?id=30mui6lEM7AC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9g6i2k2ME43Z', 'label': 'Brescia'}]",1568.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YKDEvRfWgWii', 'label': 'Vincenzo Sabbio'}",https://edit16.iccu.sbn.it/titolo/CNCE000055,https://brixiana.jarvis.memooria.org/meta/iiif/fd75878a-3138-40e3-9410-d16e70c85213/manifest,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EYTBaSPGbkAD,Bartolomeo Arnigio,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NALenMNqEw64,impresa,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,has_part,,,,,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,aiksT6sSCiT7,675102400305831263537,based_on,,,,,,,,,,,,,,,,,,,
