class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,member_of,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,related_to,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,notable_work,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,interested_in,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,catalog_identifier,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,present_in_work,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,PUiiibUDCxVm,443025359359722465235,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q5564788
