class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,identifier,http://id.sbn.it/bid/MUS0227460,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,identifier,https://rism.online/sources/990040359,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV13220010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WvmFTcvTNiwA,opera,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,title,,,,,,La Catena d'Adone posta in musica da Domenico Mazzocchi,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,inception,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,has_version,,,,,,,,1626.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GSHerNSxqLcR', 'label': 'Alessandro Vincenti'}",http://id.sbn.it/bid/MUS0227460,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA275/,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3SbH2BmAUWvM', 'label': 'librettist'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iRCYDktcXg33,Ottavio Tronsarelli,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VqbfUnj2FLMz,Domenico Mazzocchi,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ghcPKASj753i,Adonis,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,has_part,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,based_on,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mPTJMMj7AByv,choir
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TVXPXNKywS5Z,continuo group
NotatedMusic,La Catena d'Adone,,,La Catena d'Adone,La Catena d'Adone.md,6RDXiEjazAum,90943542355219836982,instrumentation,,,,,,,,,,,,,,,,,,,,10.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGaCWVaHnsUw,voice
