class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/LIBX00001809,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,identifier,https://rism.online/sources/990064761,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,identifier,https://edit16.iccu.sbn.it/titolo/CNCE046124,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,described_by_source,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7SkukMmayjC,incomplete,,,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,title,,,,,Di Ascanio Trombetti musico dell'illustrissima signoria di Bologna: Il primo libro de madrigali a cinque voci,,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,inception,,,,,,1583.0,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE046124,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_U/U253/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1583.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}",Cantus is missing.,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8gaP4VszapQL,Ascanio Trombetti,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,subject,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,has_part,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,,,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci,Di Ascanio Trombetti Il primo libro de madrigali a cinque voci.md,4WjRZp5qxoHC,51671768059433097865,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
