class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,gender_value,work_location_value,member_of_value,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,identifier,http://www.wikidata.org/entity/Q176833,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,described_by_source,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,instance_of,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,gender,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,work_location,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,member_of,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,occupation,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,related_to,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dpGN9yV9tQeL,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YfUNbStqAZ4d', 'label': '(Geremicca 2017)'}]",Raffaello da Montelupo,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,notable_work,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,interested_in,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,hybEFcuqMtfz,824922891064144011326,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",9206.0
