class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,based_on_value,based_on_note,based_on_label,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6,(Di Maro 2021),,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kFghMqXMQGVb,Dianora Sanseverino,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,part_of,,,,,,,,,42.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6,(Di Maro 2021),,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSYHRQgqztR,Extension and readaptation of the stanza in the Spanish glosa tradition.,"Ruggier, qual sempre fui, tal esser voglio",,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4yA7EuAeTMCw,perseverance,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dAdiibTyexvN,epistolary poem,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QcHkWZUZDi75,Bradamante,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,2Wq7r4uufTHy,10436103073385718652,text,,,,,,,,,,,,,,,,,,,,,,,,,,"Se sempre ritrovasti in me l'amore,
In me la fede immobil o sincera,
Non pensare ritrovarla unqua minore
O vadi autunno, o passi pimavera.
Sol vo' che riguardiamo al nostro honore
Ché, machiati ambidoi d'altra maniera,
Giamai di pianto asciugarei le gote
Fin'alla morte, o più, se più si pote."
