class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,work_location,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,member_of,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,related_to,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,notable_work,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,interested_in,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,catalog_identifier,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,FmA2BR2ZNPoV,283884961941072547848,identifier,,,,,,,,,,,,,http://www.wikidata.org/entity/Q3837101
