class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,contributor_role,contributor_value,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,identifier,https://edit16.iccu.sbn.it/titolo/CNCE029828,,,,,,,,,,,,,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,described_by_source,,,,,,,,,,,,,,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WjkwkY3qDEUr,pastoral drama,,,,,,,,,,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,title,,,,,,,,,,,,,,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,inception,,,,,,,,,,,,,,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE029828,1504.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq', 'label': 'Napoli'}]",,,,,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",[[Jacopo Sannazaro]],,,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kVrAkrexneyx,pastoral,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,based_on,,,,,,,,,,,,,,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,catalog_identifier,,,,,,,,,,,,,,,,
Book,Arcadia del Sannazaro,,,Arcadia del Sannazaro,Arcadia del Sannazaro.md,EFuUKGrphXjs,252664087486044459169,has_part,,,,,,,,,,,,,,,,
