class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,inception_value,inception_reference,inception_sourcing_circumstances,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_label,interested_in_value,interested_in_label,notable_work_value
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFgU75BTMKLj,(Vagenheim 2017),,,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,instance_of,,,,[[academy]],,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,inception,,,,,1540.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFgU75BTMKLj', 'label': '(Vagenheim 2017)'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,location,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",147.0,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,member,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/de7AEfvjawVj,Francesco Maria Molza,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,member,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c48RgGS4E7hs,Pirro Ligorio,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYPBAQP5GSWP,classical antiquity,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,BGeTASU8PMtY,191023020515109276972,notable_work,,,,,,,,,,,,,,,,,,
