class,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,identifier,http://www.wikidata.org/entity/Q3767277,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nqdAXunx4Ce4,(Cosentino 2020),,,,,,,,,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GiHfDP4DdMdp,Accademia degli Incogniti di Venezia,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,occupation,,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,related_to,,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Loredano,Giovanni Francesco Loredano.md,Giovanni Francesco Loredano,AjSwMKwVrJp7,180088944324606712997,present_in_work,,,,,,,,,,,,,,,,,,
