class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,inception_reference,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_IIIF_manifest,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,identifier,http://id.sbn.it/bid/BVEE024046,,,,,,,,,,,,,,,,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH,(Tostini 2017),,,,,,,,,,,,,,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AYqoxRbyDh4i,pastoral drama,,,,,,,,,,,,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,title,,,,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti nell'Accademia de Ss.ri Innominati di Parma detto il Rugginoso all'ill.ma et ecc.ma sig.ra D. Giulia Orsina de Conti duchessa di Poli,,,,,,,,,,,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,inception,,,,,,,1609.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",,,,,,,,,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,has_version,,,,,,,,,1612.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",http://id.sbn.it/bid/BVEE024046,https://edl-jarvis.cultura.gov.it/meta/iiif/b29175f9-fc82-49be-b583-70e3019b6ac7/manifest,https://edl.cultura.gov.it/item/2xjk43mgrz,,,,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NKZzcNCSYTa3,Giulia Orsini,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SNDFZU9awXfx,Marco Antonio Ferretti,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,subject,,,,,,,,,,,,,,,,,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,has_part,,,,,,,,,,,,,,,,,,,
Book,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,,,Mirinda fauola pastorale del c. Marc'Antonio Ferretti,Mirinda fauola pastorale del c. Marc'Antonio Ferretti.md,NcikfEXEoLEu,425285942393553142344,based_on,,,,,,,,,,,,,,,,,,,
