class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_holding_institution,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045282,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,described_by_source,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,title,,,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci. Nouamente composti & dati in luce,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE045282,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1582.0,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00083511,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00083511/manifest,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EaQYo8TMzLM', 'label': 'Angelo Gardano'}",,,,,,,,
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2dgQ8pqjwadX,Luca Marenzio,,,,,
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Luca Marenzio il terzo libro de madrigali a cinque voci,,,Di Luca Marenzio il terzo libro de madrigali a cinque voci,Di Luca Marenzio il terzo libro de madrigali a cinque voci.md,MXgvPimjmxEy,402828256901556428095,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGvRViUmPajp,quintus
