class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,identifier,http://www.wikidata.org/entity/Q168751,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,described_by_source,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iqnZy8GBFrUQ,digital library,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,inception,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,dissolved,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,location,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,official_website,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,catalog_identifier,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,member,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,interested_in,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,notable_work,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,related_to,,,,,,,,,,,,,,
Organisation,Duke university,,,Duke university,Duke university.md,9eKVhXSNUgzN,157595559874487122139,motto,,,,,,,,,,,,,,
