class,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/baADqnLF4t7X,Tarquinia Molza,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VChFER26qir8,I frutti di Giovan Leonardo Primavera. A cinque voci. Libro quarto,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,based_on,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,derivative_work,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,subject,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,poetic_type,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,metre,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,metre,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,depicts,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,language,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,W4hc7Ek6tXJ3,578780769487081480294,text,,,,,,,,,,,,,,,,,,"La luce occhi miei lassi
Che dava luc'a voi 
Fa giorno ad altri
oscura notte a noi
Ond'io sovente canto
Così va ch'in altrui pon fede tanto."
