class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,subject_value,subject_label,depicts_value,depicts_label,part_of_page,part_of_section,part_of_value,part_of_label,used_by_value,motto_value
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,identifier,,,,,,,,,,,,
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,described_by_source,,,,,,,,,,,,
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,subject,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FfsDH2wWMAGN,lightning,,,,,,,,
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,subject,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVwadMmBoLyV,Zeus,,,,,,,,
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,subject,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gh4fieGG62JV,shelter,,,,,,,,
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,depicts,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7refGZLnjZsh,swan,,,,,,
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,depicts,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kxH89uEZ8Uxe,laurel,,,,,,
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,part_of,,,,,,,8.0,Dell'Adombrato,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aiksT6sSCiT7,Rime de gli Academici Occulti con le loro imprese et discorsi,,
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,used_by,,,,,,,,,,,,
Emblem,Non come soglio il folgorar pavento,"The emblem depicts a swan finding shelter from lightnings under a laurel, a tree sacred to Zeus.",,Non come soglio il folgorar pavento,Non come soglio il folgorar pavento.md,fpU3Pht2TWMv,780347121150095863624,motto,,,,,,,,,,,,Non come soglio il folgorar pavento
